"","Correct","Wrong","Test.image.count","Accuracy","Detect.Accuracy","FPS","Radius","Neighbours","Scale","Cascade","Single","Dataset","eval"
"269",135,115,250,0.553959786622897,0.999,0.14522249051397,10,7,1.2,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.0804474198579647
"270",144,106,250,0.590890439064423,0.999,0.0134529147982063,10,9,1.2,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.00794919873180838
"271",78,172,250,0.320065654493229,0.999,0.395136253880649,20,1,1.2,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.126469543712313
"272",125,125,250,0.512925728354534,0.999,0.368920317350811,20,3,1.2,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.18922872248195
"273",136,114,250,0.558063192449733,0.999,0.285098309761987,20,5,1.2,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.159102872907797
"274",139,111,250,0.570373409930242,0.999,0.114349775784753,20,7,1.2,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.0652220715391084
"275",143,107,250,0.586787033237587,0.999,0.0205243187305968,20,9,1.2,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.0120434040971495
"276",75,175,250,0.307755437012721,0.999,0.398585719213522,30,1,1.2,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.122666922203587
"277",111,139,250,0.455478046778826,0.999,0.369092790617454,30,3,1.2,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.168113663350584
"278",120,130,250,0.492408699220353,0.999,0.2697481890307,30,5,1.2,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.132826354877653
"279",124,126,250,0.508822322527698,0.999,0.115039668851328,30,7,1.2,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.05853475148775
"280",127,123,250,0.521132540008207,0.999,0.0294929285960676,30,9,1.2,"lbpcascades/lbpcascade_frontalface.xml",0,"dup1",0.0153697247915494
"281",71,179,250,0.291341813705375,1,0.309934460158675,1,1,1.2,"lbpcascades/lbpcascade_frontalface_improved.xml",0,"dup1",0.0902968677524249
"282",107,143,250,0.439064423471481,1,0.293032080027596,1,3,1.2,"lbpcascades/lbpcascade_frontalface_improved.xml",0,"dup1",0.128659961275965
"283",119,131,250,0.488305293393517,1,0.256295274232494,1,5,1.2,"lbpcascades/lbpcascade_frontalface_improved.xml",0,"dup1",0.12515033907947
"284",100,150,250,0.410340582683627,1,0.115557088651259,1,7,1.2,"lbpcascades/lbpcascade_frontalface_improved.xml",0,"dup1",0.0474177630903812
"285",85,165,250,0.348789495281083,1,0.015177647464643,1,9,1.2,"lbpcascades/lbpcascade_frontalface_improved.xml",0,"dup1",0.00529380399874704
"286",62,188,250,0.254411161263849,1,0.305105208692653,3,1,1.2,"lbpcascades/lbpcascade_frontalface_improved.xml",0,"dup1",0.0776221704511468
"287",111,139,250,0.455478046778826,1,0.287512935494998,3,3,1.2,"lbpcascades/lbpcascade_frontalface_improved.xml",0,"dup1",0.130955830282909
"288",125,125,250,0.512925728354534,1,0.251638496033115,3,5,1.2,"lbpcascades/lbpcascade_frontalface_improved.xml",0,"dup1",0.129071858859825
"289",132,118,250,0.541649569142388,1,0.131424629182477,3,7,1.2,"lbpcascades/lbpcascade_frontalface_improved.xml",0,"dup1",0.0711860937713867
"290",134,116,250,0.549856380796061,1,0.0098309761986892,3,9,1.2,"lbpcascades/lbpcascade_frontalface_improved.xml",0,"dup1",0.00540562499230346
"291",63,187,250,0.258514567090685,1,0.306140048292515,5,1,1.2,"lbpcascades/lbpcascade_frontalface_improved.xml",0,"dup1",0.0791416620534609
"292",118,132,250,0.48420188756668,1,0.286995515695067,5,3,1.2,"lbpcascades/lbpcascade_frontalface_improved.xml",0,"dup1",0.138963770422724
"293",131,119,250,0.537546163315552,1,0.248361503966885,5,5,1.2,"lbpcascades/lbpcascade_frontalface_improved.xml",0,"dup1",0.133505773572679
"294",135,115,250,0.553959786622897,1,0.119006553984132,5,7,1.2,"lbpcascades/lbpcascade_frontalface_improved.xml",0,"dup1",0.0659248452517763
"295",140,110,250,0.574476815757078,1,0.0122456019317006,5,9,1.2,"lbpcascades/lbpcascade_frontalface_improved.xml",0,"dup1",0.00703481440475208
"296",65,185,250,0.266721378744358,1,0.302518109692998,7,1,1.2,"lbpcascades/lbpcascade_frontalface_improved.xml",0,"dup1",0.0806880473124532
"297",108,142,250,0.443167829298318,1,0.288030355294929,7,3,1.2,"lbpcascades/lbpcascade_frontalface_improved.xml",0,"dup1",0.127645787328077
"298",127,123,250,0.521132540008207,1,0.253880648499483,7,5,1.2,"lbpcascades/lbpcascade_frontalface_improved.xml",0,"dup1",0.132305467211466
"299",136,114,250,0.558063192449733,1,0.105381165919283,7,7,1.2,"lbpcascades/lbpcascade_frontalface_improved.xml",0,"dup1",0.0588093498769899
"300",146,104,250,0.599097250718096,1,0.015177647464643,7,9,1.2,"lbpcascades/lbpcascade_frontalface_improved.xml",0,"dup1",0.00909288686843609
"301",64,186,250,0.262617972917522,1,0.299068644360124,8,1,1.2,"lbpcascades/lbpcascade_frontalface_improved.xml",0,"dup1",0.078540801145047
"302",107,143,250,0.439064423471481,1,0.287340462228355,8,3,1.2,"lbpcascades/lbpcascade_frontalface_improved.xml",0,"dup1",0.126160974388321
"303",135,115,250,0.553959786622897,1,0.238875474301483,8,5,1.2,"lbpcascades/lbpcascade_frontalface_improved.xml",0,"dup1",0.132327406773493
"304",143,107,250,0.586787033237587,1,0.106588478785788,8,7,1.2,"lbpcascades/lbpcascade_frontalface_improved.xml",0,"dup1",0.0625447372440202
"305",153,97,250,0.62782109150595,1,0.0158675405312177,8,9,1.2,"lbpcascades/lbpcascade_frontalface_improved.xml",0,"dup1",0.00996197661582397
"306",65,185,250,0.266721378744358,1,0.303897895826147,10,1,1.2,"lbpcascades/lbpcascade_frontalface_improved.xml",0,"dup1",0.0810560657722591
"307",106,144,250,0.434961017644645,1,0.287685408761642,10,3,1.2,"lbpcascades/lbpcascade_frontalface_improved.xml",0,"dup1",0.125131938156479
"308",126,124,250,0.517029134181371,1,0.237668161434978,10,5,1.2,"lbpcascades/lbpcascade_frontalface_improved.xml",0,"dup1",0.122881363729205
"309",141,109,250,0.578580221583915,1,0.0998620213866851,10,7,1.2,"lbpcascades/lbpcascade_frontalface_improved.xml",0,"dup1",0.0577781904617259
"310",144,106,250,0.590890439064423,1,0.0200068989306658,10,9,1.2,"lbpcascades/lbpcascade_frontalface_improved.xml",0,"dup1",0.0118218852934586
"311",62,188,250,0.254411161263849,1,0.305622628492584,20,1,1.2,"lbpcascades/lbpcascade_frontalface_improved.xml",0,"dup1",0.0777538078233081
"312",94,156,250,0.38572014772261,1,0.282511210762332,20,3,1.2,"lbpcascades/lbpcascade_frontalface_improved.xml",0,"dup1",0.10897026594854
"313",104,146,250,0.426754205990972,1,0.215419110037944,20,5,1.2,"lbpcascades/lbpcascade_frontalface_improved.xml",0,"dup1",0.0919310112595248
"314",115,135,250,0.471891670086172,1,0.10244912038634,20,7,1.2,"lbpcascades/lbpcascade_frontalface_improved.xml",0,"dup1",0.0483448865179693
"315",121,129,250,0.496512105047189,1,0.034494653328734,20,9,1.2,"lbpcascades/lbpcascade_frontalface_improved.xml",0,"dup1",0.0171270129371228
"316",53,197,250,0.217480508822323,1,0.307519834425664,30,1,1.2,"lbpcascades/lbpcascade_frontalface_improved.xml",0,"dup1",0.0668795700638498
"317",79,171,250,0.324169060320066,1,0.280958951362539,30,3,1.2,"lbpcascades/lbpcascade_frontalface_improved.xml",0,"dup1",0.0910781992517052
"318",84,166,250,0.344686089454247,1,0.208347706105554,30,5,1.2,"lbpcascades/lbpcascade_frontalface_improved.xml",0,"dup1",0.071814556064286
"319",86,164,250,0.35289290110792,1,0.115212142117972,30,7,1.2,"lbpcascades/lbpcascade_frontalface_improved.xml",0,"dup1",0.040657547074869
"320",94,156,250,0.38572014772261,1,0.0474301483270093,30,9,1.2,"lbpcascades/lbpcascade_frontalface_improved.xml",0,"dup1",0.0182947638191993
"321",66,184,250,0.270824784571194,1,0.14522249051397,1,1,1.2,"haarcascades/haarcascade_frontalface_default.xml",0,"dup1",0.0393298497083383
