Correct;Wrong;Test image count;Accuracy;Detect Accuracy;FPS;Radius;Neighbours;Scale;Cascade;Single;Dataset
115;135;250;0.4600;1.0000;3.64;20;9;1.0;lbpcascades/lbpcascade_frontalface_improved.xml;0;dup1
56;194;250;0.2240;1.0000;12.49;30;1;1.0;lbpcascades/lbpcascade_frontalface_improved.xml;0;dup1
76;174;250;0.3040;1.0000;12.05;30;3;1.0;lbpcascades/lbpcascade_frontalface_improved.xml;0;dup1
81;169;250;0.3240;1.0000;10.17;30;5;1.0;lbpcascades/lbpcascade_frontalface_improved.xml;0;dup1
88;162;250;0.3520;1.0000;6.97;30;7;1.0;lbpcascades/lbpcascade_frontalface_improved.xml;0;dup1
94;156;250;0.3760;1.0000;4.16;30;9;1.0;lbpcascades/lbpcascade_frontalface_improved.xml;0;dup1
64;186;250;0.2560;1.0000;6.90;1;1;1.0;haarcascades/haarcascade_frontalface_default.xml;0;dup1
101;149;250;0.4040;1.0000;6.74;1;3;1.0;haarcascades/haarcascade_frontalface_default.xml;0;dup1
115;135;250;0.4600;1.0000;6.35;1;5;1.0;haarcascades/haarcascade_frontalface_default.xml;0;dup1
119;131;250;0.4760;1.0000;5.04;1;7;1.0;haarcascades/haarcascade_frontalface_default.xml;0;dup1
121;129;250;0.4840;1.0000;2.18;1;9;1.0;haarcascades/haarcascade_frontalface_default.xml;0;dup1
73;177;250;0.2920;1.0000;6.98;3;1;1.0;haarcascades/haarcascade_frontalface_default.xml;0;dup1
105;145;250;0.4200;1.0000;6.72;3;3;1.0;haarcascades/haarcascade_frontalface_default.xml;0;dup1
113;137;250;0.4520;1.0000;6.39;3;5;1.0;haarcascades/haarcascade_frontalface_default.xml;0;dup1
121;129;250;0.4840;1.0000;5.43;3;7;1.0;haarcascades/haarcascade_frontalface_default.xml;0;dup1
123;127;250;0.4920;1.0000;2.37;3;9;1.0;haarcascades/haarcascade_frontalface_default.xml;0;dup1
70;180;250;0.2800;1.0000;6.99;5;1;1.0;haarcascades/haarcascade_frontalface_default.xml;0;dup1
107;143;250;0.4280;1.0000;6.76;5;3;1.0;haarcascades/haarcascade_frontalface_default.xml;0;dup1
115;135;250;0.4600;1.0000;6.43;5;5;1.0;haarcascades/haarcascade_frontalface_default.xml;0;dup1
120;130;250;0.4800;1.0000;5.46;5;7;1.0;haarcascades/haarcascade_frontalface_default.xml;0;dup1
132;118;250;0.5280;1.0000;2.24;5;9;1.0;haarcascades/haarcascade_frontalface_default.xml;0;dup1
69;181;250;0.2760;1.0000;6.89;7;1;1.0;haarcascades/haarcascade_frontalface_default.xml;0;dup1
111;139;250;0.4440;1.0000;6.73;7;3;1.0;haarcascades/haarcascade_frontalface_default.xml;0;dup1
